tweet_id,favorites,retweets,user_followers,user_favourites,date_time
834477809192075265,0,11843,6629306,132918,2017-02-22 18:59:48
834458053273591808,10340,1859,6629306,132918,2017-02-22 17:41:18
834209720923721728,22161,5321,6629306,132918,2017-02-22 01:14:30
834167344700198914,16933,4028,6629306,132918,2017-02-21 22:26:07
834089966724603904,10806,2360,6629306,132918,2017-02-21 17:18:39
834086379323871233,14049,2458,6629306,132918,2017-02-21 17:04:24
833863086058651648,14420,2670,6629306,132918,2017-02-21 02:17:06
833826103416520705,16491,3822,6629307,132918,2017-02-20 23:50:09
833732339549220864,0,242,6629307,132918,2017-02-20 17:37:34
833722901757046785,22227,3557,6629307,132918,2017-02-20 17:00:04
833479644947025920,15983,2294,6629307,132918,2017-02-20 00:53:27
833124694597443584,21761,5394,6629307,132918,2017-02-19 01:23:00
832998151111966721,14320,2464,6629307,132918,2017-02-18 17:00:10
832769181346996225,0,42,6629307,132918,2017-02-18 01:50:19
832757312314028032,18129,4024,6629307,132918,2017-02-18 01:03:09
832682457690300417,12801,3274,6629307,132918,2017-02-17 20:05:43
832645525019123713,3141,579,6629307,132918,2017-02-17 17:38:57
832636094638288896,17089,3121,6629308,132918,2017-02-17 17:01:29
832397543355072512,12883,2482,6629308,132918,2017-02-17 01:13:34
832369877331693569,18485,3553,6629308,132918,2017-02-16 23:23:38
832273440279240704,12168,2603,6629308,132918,2017-02-16 17:00:25
832215909146226688,0,6892,6629308,132918,2017-02-16 13:11:49
832215726631055365,0,10433,6629308,132918,2017-02-16 13:11:05
832088576586297345,72,2,6629308,132918,2017-02-16 04:45:50
832040443403784192,0,10831,6629308,132918,2017-02-16 01:34:34
832032802820481025,19262,5197,6629057,132916,2017-02-16 01:04:13
831939777352105988,25885,6854,6629308,132918,2017-02-15 18:54:34
831926988323639298,367,36,6629309,132918,2017-02-15 18:03:45
831911600680497154,29826,7277,6629309,132918,2017-02-15 17:02:36
831670449226514432,11270,2021,6629309,132918,2017-02-15 01:04:21
831650051525054464,7741,2180,6629309,132918,2017-02-14 23:43:18
831552930092285952,9717,2558,6629309,132918,2017-02-14 17:17:22
831322785565769729,9887,1706,6629311,132918,2017-02-14 02:02:51
831315979191906304,7008,1239,6629311,132918,2017-02-14 01:35:49
831309418084069378,12621,2714,6629311,132918,2017-02-14 01:09:44
